Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EducationLabel,JobSatisfactionLabel,EnvironmentSatisfactionLabel,RelationshipSatisfactionLabel,WorkLifeBalanceLabel,JobInvolvementLabel,PerformanceRatingLabel,income_percentile_in_level,AttritionRiskScore,RiskTier,AgeBand,TenureBand
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,College,4-Very High,2-Medium,1-Low,1-Bad,High,Excellent,0.6900749063670412,55.6,High,36-45,4-5-10 yrs
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,2,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,Below College,2-Medium,3-High,4-Very High,3-Better,Medium,Outstanding,0.4250936329588015,41.0,Medium,46-55,4-5-10 yrs
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,College,3-High,4-Very High,2-Medium,3-Better,Medium,Excellent,0.1252302025782689,62.5,High,36-45,1-<1 yr
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,5,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,Master,3-High,4-Very High,3-High,3-Better,High,Excellent,0.651012891344383,58.0,High,26-35,4-5-10 yrs
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,Below College,2-Medium,1-Low,4-Very High,3-Better,High,Excellent,0.8195211786372008,34.8,Medium,26-35,2-1-3 yrs
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,College,4-Very High,4-Very High,3-High,2-Good,High,Excellent,0.7219152854511971,31.0,Medium,26-35,4-5-10 yrs
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,Bachelor,1-Low,3-High,1-Low,2-Good,Very High,Outstanding,0.5009208103130756,65.0,High,56-65,1-<1 yr
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,Below College,3-High,4-Very High,2-Medium,3-Better,High,Outstanding,0.5165745856353591,29.8,Low,26-35,1-<1 yr
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,Bachelor,3-High,4-Very High,2-Medium,3-Better,Medium,Outstanding,0.41743119266055045,36.1,Medium,36-45,4-5-10 yrs
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,Bachelor,3-High,3-High,2-Medium,2-Good,High,Excellent,0.46254681647940077,44.6,Medium,36-45,4-5-10 yrs
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,Bachelor,2-Medium,1-Low,3-High,3-Better,Very High,Excellent,0.35543278084714547,32.7,Medium,26-35,3-3-5 yrs
